Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.014367799603318398,0.09745817248372662,0.07929687477004788
OLS,Validation,0.014671836051307893,0.10088395349939476,0.0598139117850206
Ridge(tuned),Validation_CV,0.016576043015268042,0.09921165711347836,
RF(tuned),Validation_CV,0.016689787141093444,0.09675708509871951,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.05739593295661825,0.17576569455263558,-0.12830842678878196
OLS,Test(final),0.05668079376834982,0.17482595946251106,-0.11424998168849876
Ridge(tuned),Test(final),0.05681986720447828,0.17516306498825066,-0.11698393376215566
RF(tuned),Test(final),0.05945710975281357,0.17862352542365853,-0.16882772891436093
