Model,Split,MSE,MAE,R2
Naive(Δ=0),Validation,0.015694444444444445,0.10666666666666669,-0.005715867961472387
AR(1),Validation,0.014398625136456313,0.09785009891196317,0.07732154344023145
OLS,Validation,0.01631554059086858,0.10511050585792699,-0.04551633698728663
Ridge(tuned),Validation_CV,0.016649021285193247,0.10107630768763963,
RF(tuned),Validation_CV,0.017039180924551638,0.10011257667520151,
Naive(Δ=0),Test(final),0.056100000000000025,0.17046511627906982,-0.10283254373952788
AR(1),Test(final),0.05723378581723083,0.175828021974452,-0.1251208841472362
OLS,Test(final),0.06163545216907224,0.19025568858300623,-0.2116503119457025
Ridge(tuned),Test(final),0.059817330287201466,0.18512220701922497,-0.17590906453372313
RF(tuned),Test(final),0.05838828905949326,0.1781244295249379,-0.1478164946181777
